city,year,population
Población de Hecho: Benaguasil,1950,8015
Población de Hecho: Benaguasil,1940,7885
Población de Hecho: Benaguasil,1930,6623
Población de Hecho: Benaguasil,1920,6433
Población de Hecho: Benaguasil,1910,6114
Población de Hecho: Benaguasil,1900,5807
Población de Hecho: Benavites,1991,657
Población de Hecho: Benavites,1981,666
Población de Hecho: Benavites,1970,669
Población de Hecho: Benavites,1960,596
Población de Hecho: Benavites,1950,573
Población de Hecho: Benavites,1940,572
Población de Hecho: Benavites,1930,576
Población de Hecho: Benavites,1920,558
Población de Hecho: Benavites,1910,512
Población de Hecho: Benavites,1900,455
Población de Hecho: Beneixida,1991,378
Población de Hecho: Beneixida,1981,600
Población de Hecho: Beneixida,1970,651
Población de Hecho: Beneixida,1960,585
Población de Hecho: Beneixida,1950,612
Población de Hecho: Beneixida,1940,589
Población de Hecho: Beneixida,1930,547
Población de Hecho: Beneixida,1920,498
Población de Hecho: Beneixida,1910,501
Población de Hecho: Beneixida,1900,476
Población de Hecho: Benetússer,1991,13891
Población de Hecho: Benetússer,1981,13488
Población de Hecho: Benetússer,1970,10062
Población de Hecho: Benetússer,1960,5907
Población de Hecho: Benetússer,1950,3954
Población de Hecho: Benetússer,1940,3436
Población de Hecho: Benetússer,1930,2517
Población de Hecho: Benetússer,1920,1421
Población de Hecho: Benetússer,1910,1216
Población de Hecho: Benetússer,1900,996
Población de Hecho: Beniarjó,1991,1105
Población de Hecho: Beniarjó,1981,1291
Población de Hecho: Beniarjó,1970,1524
Población de Hecho: Beniarjó,1960,1633
Población de Hecho: Beniarjó,1950,1363
Población de Hecho: Beniarjó,1940,1451
Población de Hecho: Beniarjó,1930,1322
Población de Hecho: Beniarjó,1920,1229
Población de Hecho: Beniarjó,1910,969
Población de Hecho: Beniarjó,1900,984
Población de Hecho: Beniatjar,1991,251
Población de Hecho: Beniatjar,1981,279
Población de Hecho: Beniatjar,1970,312
Población de Hecho: Beniatjar,1960,354
Población de Hecho: Beniatjar,1950,421
Población de Hecho: Beniatjar,1940,410
Población de Hecho: Beniatjar,1930,418
Población de Hecho: Beniatjar,1920,450
Población de Hecho: Beniatjar,1910,519
Población de Hecho: Beniatjar,1900,560
Población de Hecho: Benicolet,1991,477
Población de Hecho: Benicolet,1981,479
Población de Hecho: Benicolet,1970,522
Población de Hecho: Benicolet,1960,542
Población de Hecho: Benicolet,1950,553
Población de Hecho: Benicolet,1940,558
Población de Hecho: Benicolet,1930,546
Población de Hecho: Benicolet,1920,579
Población de Hecho: Benicolet,1910,522
Población de Hecho: Benicolet,1900,592
Población de Hecho: Benifaio,1991,11850
Población de Hecho: Benifaio,1981,11849
Población de Hecho: Benifaio,1970,10183
Población de Hecho: Benifaio,1960,8095
Población de Hecho: Benifaio,1950,7629
Población de Hecho: Benifaio,1940,7213
Población de Hecho: Benifaio,1930,6551
Población de Hecho: Benifaio,1920,6918
Población de Hecho: Benifaio,1910,5031
Población de Hecho: Benifaio,1900,4267
Población de Hecho: Benifairó de la Valldigna,1991,1666
Población de Hecho: Benifairó de la Valldigna,1981,1567
Población de Hecho: Benifairó de la Valldigna,1970,1641
Población de Hecho: Benifairó de la Valldigna,1960,1529
Población de Hecho: Benifairó de la Valldigna,1950,1567
Población de Hecho: Benifairó de la Valldigna,1940,1509
Población de Hecho: Benifairó de la Valldigna,1930,1403
Población de Hecho: Benifairó de la Valldigna,1920,1373
Población de Hecho: Benifairó de la Valldigna,1910,1451
Población de Hecho: Benifairó de la Valldigna,1900,1331
Población de Hecho: Benifairó de les Valls,1991,1940
Población de Hecho: Benifairó de les Valls,1981,1940
Población de Hecho: Benifairó de les Valls,1970,1742
Población de Hecho: Benifairó de les Valls,1960,1514
Población de Hecho: Benifairó de les Valls,1950,1367
Población de Hecho: Benifairó de les Valls,1940,1384
Población de Hecho: Benifairó de les Valls,1930,1161
Población de Hecho: Benifairó de les Valls,1920,978
Población de Hecho: Benifairó de les Valls,1910,944
Población de Hecho: Benifla,1991,153
Población de Hecho: Benifla,1981,164
Población de Hecho: Benifla,1970,185
Población de Hecho: Benifla,1960,194
Población de Hecho: Benifla,1950,165
Población de Hecho: Benifla,1940,188
Población de Hecho: Benifla,1930,211
Población de Hecho: Benifla,1920,159
Población de Hecho: Benifla,1910,194
Población de Hecho: Benifla,1900,158
Población de Hecho: Benigánim,1991,5326
Población de Hecho: Benigánim,1981,5077
Población de Hecho: Benigánim,1970,4476
Población de Hecho: Benigánim,1960,3994
Población de Hecho: Benigánim,1950,3560
Población de Hecho: Benigánim,1940,3662
Población de Hecho: Benigánim,1930,3583
Población de Hecho: Benigánim,1920,3398
Población de Hecho: Benigánim,1910,3613
Población de Hecho: Benigánim,1900,3492
Población de Hecho: Benimodo,1991,1722
Población de Hecho: Benimodo,1981,1728
Población de Hecho: Benimodo,1970,1707
Población de Hecho: Benimodo,1960,1536
Población de Hecho: Benimodo,1950,1631
Población de Hecho: Benimodo,1940,1412
Población de Hecho: Benimodo,1930,1221
Población de Hecho: Benimodo,1920,1166
Población de Hecho: Benimodo,1910,1221
Población de Hecho: Benimodo,1900,1157
Población de Hecho: Benimuslem,1991,572
Población de Hecho: Benimuslem,1981,562
Población de Hecho: Benimuslem,1970,604
Población de Hecho: Benimuslem,1960,662
Población de Hecho: Benimuslem,1950,621
Población de Hecho: Benimuslem,1940,579
Población de Hecho: Benimuslem,1930,462
Población de Hecho: Benimuslem,1920,422
Población de Hecho: Benimuslem,1910,432
Población de Hecho: Benimuslem,1900,398
Población de Hecho: Beniparrell,1991,1366
Población de Hecho: Beniparrell,1981,1321
Población de Hecho: Beniparrell,1970,1044
Población de Hecho: Beniparrell,1960,1016
Población de Hecho: Beniparrell,1950,901
Población de Hecho: Beniparrell,1940,819
Población de Hecho: Beniparrell,1930,748
Población de Hecho: Beniparrell,1920,683
Población de Hecho: Beniparrell,1910,581
