city,year,population
Càlig,2009,2198
Càlig,2008,2170
Càlig,2007,2023
Càlig,2006,1963
Càlig,2005,1647
Càlig,2004,1721
Càlig,2003,1808
Càlig,2002,1733
Càlig,2001,1772
Càlig,2000,1744
Càlig,1999,1742
Càlig,1998,1755
Càlig,1996,1774
Canet lo Roig,2025,715
Canet lo Roig,2024,699
Canet lo Roig,2023,685
Canet lo Roig,2022,680
Canet lo Roig,2021,687
Canet lo Roig,2020,676
Canet lo Roig,2019,674
Canet lo Roig,2018,696
Canet lo Roig,2017,706
Canet lo Roig,2016,724
Canet lo Roig,2015,746
Canet lo Roig,2014,760
Canet lo Roig,2013,817
Canet lo Roig,2012,836
Canet lo Roig,2011,855
Canet lo Roig,2010,870
Canet lo Roig,2009,882
Canet lo Roig,2008,897
Canet lo Roig,2007,927
Canet lo Roig,2006,913
Canet lo Roig,2005,916
Canet lo Roig,2004,909
Canet lo Roig,2003,922
Canet lo Roig,2002,881
Canet lo Roig,2001,878
Canet lo Roig,2000,879
Canet lo Roig,1999,914
Canet lo Roig,1998,914
Canet lo Roig,1996,934
Castell de Cabres,2025,21
Castell de Cabres,2024,22
Castell de Cabres,2023,19
Castell de Cabres,2022,20
Castell de Cabres,2021,22
Castell de Cabres,2020,22
Castell de Cabres,2019,17
Castell de Cabres,2018,19
Castell de Cabres,2017,17
Castell de Cabres,2016,17
Castell de Cabres,2015,16
Castell de Cabres,2014,16
Castell de Cabres,2013,15
Castell de Cabres,2012,17
Castell de Cabres,2011,17
Castell de Cabres,2010,16
Castell de Cabres,2009,18
Castell de Cabres,2008,18
Castell de Cabres,2007,18
Castell de Cabres,2006,19
Castell de Cabres,2005,19
Castell de Cabres,2004,19
Castell de Cabres,2003,18
Castell de Cabres,2002,19
Castell de Cabres,2001,21
Castell de Cabres,2000,22
Castell de Cabres,1999,22
Castell de Cabres,1998,22
Castell de Cabres,1996,24
Castellfort,2025,178
Castellfort,2024,190
Castellfort,2023,188
Castellfort,2022,188
Castellfort,2021,179
Castellfort,2020,179
Castellfort,2019,183
Castellfort,2018,192
Castellfort,2017,198
Castellfort,2016,205
Castellfort,2015,206
Castellfort,2014,215
Castellfort,2013,222
Castellfort,2012,238
Castellfort,2011,237
Castellfort,2010,240
Castellfort,2009,236
Castellfort,2008,235
Castellfort,2007,228
Castellfort,2006,218
Castellfort,2005,217
Castellfort,2004,218
Castellfort,2003,220
Castellfort,2002,231
Castellfort,2001,239
Castellfort,2000,236
Castellfort,1999,234
Castellfort,1998,235
Castellfort,1996,245
Castellnovo,2025,912
Castellnovo,2024,884
Castellnovo,2023,888
Castellnovo,2022,893
Castellnovo,2021,914
Castellnovo,2020,918
Castellnovo,2019,917
Castellnovo,2018,946
Castellnovo,2017,966
Castellnovo,2016,981
Castellnovo,2015,1003
Castellnovo,2014,991
Castellnovo,2013,1026
Castellnovo,2012,1050
Castellnovo,2011,1065
Castellnovo,2010,1071
Castellnovo,2009,1081
Castellnovo,2008,1080
Castellnovo,2007,1052
Castellnovo,2006,1019
Castellnovo,2005,1029
Castellnovo,2004,1011
Castellnovo,2003,1027
Castellnovo,2002,1031
Castellnovo,2001,1020
Castellnovo,2000,1020
Castellnovo,1999,1031
