Municipios	Periodo	Total
46070 Bétera	1940	7.228
46070 Bétera	1930	4.415
46070 Bétera	1920	3.893
46070 Bétera	1910	3.248
46070 Bétera	1900	2.855
46071 Bicorp	1991	693
46071 Bicorp	1981	762
46071 Bicorp	1970	837
46071 Bicorp	1960	1.083
46071 Bicorp	1950	1.194
46071 Bicorp	1940	1.294
46071 Bicorp	1930	1.246
46071 Bicorp	1920	994
46071 Bicorp	1910	988
46071 Bicorp	1900	925
46072 Bocairent	1991	4.607
46072 Bocairent	1981	4.881
46072 Bocairent	1970	4.584
46072 Bocairent	1960	4.573
46072 Bocairent	1950	3.961
46072 Bocairent	1940	3.603
46072 Bocairent	1930	3.504
46072 Bocairent	1920	3.849
46072 Bocairent	1910	4.175
46072 Bocairent	1900	3.971
46073 Bolbaite	1991	1.365
46073 Bolbaite	1981	1.312
46073 Bolbaite	1970	1.364
46073 Bolbaite	1960	1.648
46073 Bolbaite	1950	1.807
46073 Bolbaite	1940	1.617
46073 Bolbaite	1930	1.602
46073 Bolbaite	1920	1.300
46073 Bolbaite	1910	1.270
46073 Bolbaite	1900	1.620
46074 Bonrepòs i Mirambell	1991	2.536
46074 Bonrepòs i Mirambell	1981	2.701
46074 Bonrepòs i Mirambell	1970	1.754
46074 Bonrepòs i Mirambell	1960	1.613
46074 Bonrepòs i Mirambell	1950	1.308
46074 Bonrepòs i Mirambell	1940	1.361
46074 Bonrepòs i Mirambell	1930	1.010
46074 Bonrepòs i Mirambell	1920	820
46074 Bonrepòs i Mirambell	1910	727
46074 Bonrepòs i Mirambell	1900	643
46075 Bufali	1991	214
46075 Bufali	1981	287
46075 Bufali	1970	273
46075 Bufali	1960	313
46075 Bufali	1950	288
46075 Bufali	1940	262
46075 Bufali	1930	259
46075 Bufali	1920	275
46075 Bufali	1910	335
46075 Bufali	1900	304
46076 Bugarra	1991	878
46076 Bugarra	1981	933
46076 Bugarra	1970	970
46076 Bugarra	1960	1.178
46076 Bugarra	1950	1.324
46076 Bugarra	1940	1.251
46076 Bugarra	1930	1.306
46076 Bugarra	1920	1.479
46076 Bugarra	1910	1.579
46076 Bugarra	1900	1.404
46077 Buñol	1991	9.076
46077 Buñol	1981	9.087
46077 Buñol	1970	7.851
46077 Buñol	1960	7.215
46077 Buñol	1950	6.419
46077 Buñol	1940	6.011
46077 Buñol	1930	5.294
46077 Buñol	1920	4.773
46077 Buñol	1910	4.747
46077 Buñol	1900	4.832
46078 Burjassot	1991	34.595
46078 Burjassot	1981	35.583
46078 Burjassot	1970	23.283
46078 Burjassot	1960	17.624
46078 Burjassot	1950	12.134
46078 Burjassot	1940	11.235
46078 Burjassot	1930	8.538
46078 Burjassot	1920	6.532
46078 Burjassot	1910	5.101
46078 Burjassot	1900	4.009
46079 Calles	1991	404
46079 Calles	1981	420
46079 Calles	1970	483
46079 Calles	1960	928
46079 Calles	1950	1.045
46079 Calles	1940	1.118
46079 Calles	1930	1.041
46079 Calles	1920	1.184
46079 Calles	1910	1.279
46079 Calles	1900	1.092
46080 Camporrobles	1991	1.414
46080 Camporrobles	1981	1.540
46080 Camporrobles	1970	1.909
46080 Camporrobles	1960	2.143
46080 Camporrobles	1950	2.514
46080 Camporrobles	1940	2.416
46080 Camporrobles	1930	2.423
46080 Camporrobles	1920	2.263
46080 Camporrobles	1910	2.065
46080 Camporrobles	1900	1.960
46081 Canals	1991	12.185
46081 Canals	1981	11.151
46081 Canals	1970	9.080
46081 Canals	1960	7.350
46081 Canals	1950	6.176
46081 Canals	1940	5.821
46081 Canals	1930	5.261
46081 Canals	1920	4.967
46081 Canals	1910	4.857
46081 Canals	1900	4.695
46082 Canet d'En Berenguer	1991	1.539
46082 Canet d'En Berenguer	1981	1.296
46082 Canet d'En Berenguer	1970	1.127
46082 Canet d'En Berenguer	1960	1.208
46082 Canet d'En Berenguer	1950	1.152
46082 Canet d'En Berenguer	1940	1.072
46082 Canet d'En Berenguer	1930	1.178
46082 Canet d'En Berenguer	1920	798
46082 Canet d'En Berenguer	1910	778
46082 Canet d'En Berenguer	1900	630
46083 Carcaixent	1991	20.062
46083 Carcaixent	1981	22.164
46083 Carcaixent	1970	18.971
46083 Carcaixent	1960	17.937
46083 Carcaixent	1950	17.216
46083 Carcaixent	1940	17.846
46083 Carcaixent	1930	15.393
46083 Carcaixent	1920	13.834
46083 Carcaixent	1910	13.520
